Code,Name
0101,"Cai, măgari, catâri și bardoi, vii"
010121,Reproducători de rasă pură
010129,Altele
01012910,Destinați sacrificării
01012990,Altele
010130,Măgari
010190,Altele
0102,Animale vii din specia bovine
010221,Reproducători de rasă pură
01022110,Juninci (care nu au fătat niciodată)
01022130,Vaci
01022190,Altele
010229,Altele
01022905,Din subgenul Bibos sau din subgenul Poephagus
01022910,Cu o greutate de maximum 80 kg
0102291010,"Taurasi, destinati ingrasarii"
0102291020,Juninci din rasele montane
0102291030,"Juninci din rasele Schwyz si Fribourg, altele decat cele destinate sacrificarii"
0102291040,"Juninci din rasa baltata Simmental, altele decat destinate sacrificarii"
0102291050,"Tauri din rasa baltata Simmental si din rasele Schwyz si Fribourg, altele decat cele destinate sacrificarii"
0102291090,Altele
01022921,Destinate sacrificării
01022929,Altele
0102292910,"Taurasi, destinati ingrasarii"
0102292920,Juninci din rasele montane
0102292930,Juninci din rasele Schwyz si Fribourg
0102292940,Juninci din rasa Simmental baltata
0102292950,"Tauri din rasele Schwyz, Fribourg si Simmental baltata"
0102292990,Altele
01022941,Destinate sacrificării
01022949,Altele
0102294910,"Taurasi, destinati ingrasarii"
0102294920,Juninci din rasele montane
0102,Animale vii din specia bovine
010221,Reproducători de rasă pură
010229,Altele
01022905,Din subgenul Bibos sau din subgenul Poephagus
01022941,Destinate sacrificării
01022949,Altele
0102294910,"Taurasi, destinati ingrasarii"
0102294920,Juninci din rasele montane
0102294930,Juninci si vaci din rasele Schwyz si Fribourg
0102294940,Juninci si vaci din rasa Simmental baltata
0102294950,"Tauri din rasele Schwyz, Fribourg si Simmental baltata"
0102294990,Altele
01022951,Destinate sacrificării
0102295110,"Cu dinti de lapte (mânzat), cu o greutate peste 320 kg, dar de maximum 470 kg"
0102295190,Altele
01022959,Altele
0102295911,"Cu dinti de lapte (mânzat), cu o greutate peste 320 kg, dar de maximum 470 kg"
0102295919,Altele
0102295921,"Cu dinti de lapte (mânzat), cu o greutate peste 320 kg, dar de maximum 470 kg"
0102295929,Altele
0102295931,"Cu dinti de lapte (mânzat), cu o greutate peste 320 kg, dar de maximum 470 kg"
0102295939,Altele
0102295991,"Cu dinti de lapte (mânzat), cu o greutate peste 320 kg, dar de maximum 470 kg"
0102295999,Altele
01022961,Destinate sacrificării
01022969,Altele
0102296910,Juninci din rasele montane
0102296920,din rasele Schwyz si Fribourg
0102296930,din rasa Simmental baltata
0102296990,Altele
01022991,Destinate sacrificării
0102299110,"Cu dinti de lapte (mânzat), cu o greutate peste 350 kg, dar de maximum 500 kg"
0102299190,Altele
01022999,Altele
0102299921,"Cu dinti de lapte (mânzat), cu o greutate peste 350 kg, dar de maximum 500 kg"
0102299929,Altele
0102299991,"Cu dinti de lapte (mânzat), cu o greutate peste 350 kg, dar de maximum 500 kg"
0102299999,Altele
0102,Animale vii din specia bovine
010231,Reproducători de rasă pură
010239,Altele
01023910,De specie domestică
0102391010,Cu o greutate peste 160 kg
0102391090,Altele
01023990,Altele
010290,Altele
01029020,Reproducători de rasă pură
01029091,De specie domestică
0102909110,Cu o greutate peste 160 kg
0102909190,Altele
01029099,Altele
0103,Animale vii din specia porcine
010310,Reproducători de rasă pură
010391,Cu o greutate sub 50 kg
01039110,Animale domestice din specia porcină
01039190,Altele
010392,Cu o greutate de minimum 50 kg
01039211,"Scroafe cu o greutate minimă de 160 kg, care au fătat cel puțin o dată"
01039219,Altele
01039290,Altele
0104,Animale vii din specia ovine sau caprine
010410,Din specia ovine
01041010,Reproducători de rasă pură
01041030,Miei (până la 1 an)
01041080,Altele
010420,Din specia caprine
01042010,Reproducători de rasă pură
01042090,Altele
0105,"Cocoși, găini, rațe, gâște, curcani, curci și bibilici, vii, din specii domestice"
010511,Cocoși și găini
01051111,De rase ouătoare
01051119,Altele
01051191,De rase ouătoare
01051199,Altele
010512,Curcani și curci
010513,Rațe
0101,"Cai, măgari, catâri și bardoi, vii"
0102,Animale vii din specia bovine
0103,Animale vii din specia porcine
0104,Animale vii din specia ovine sau caprine
0105,"Cocoși, găini, rațe, gâște, curcani, curci și bibilici, vii, din specii domestice"
010514,Gâște
010515,Bibilici
010594,Cocoși și găini
010599,Altele
01059910,Rațe
01059920,Gâște
01059930,Curcani și curci
01059950,Bibilici
0106,Alte animale vii
010611,Primate
010612,"Balene, delfini și marsuini (mamifere din ordinul Cetacee); lamantini și dugongi (mamifere din ordinul Sirenia); foci, lei de mare și morse (mamifere din subordinul Pinnipedia)"
010613,Cămile și alte camelide (Camelidae)
010614,Iepuri și iepuri de câmp
01061410,Iepuri domestici
01061490,Altele
010619,Altele
010620,Reptile (inclusiv șerpi și broaște țestoase de mare)
010631,Păsări de pradă
010632,"Psittaciforme (inclusiv papagali, peruși, arakanga și cacaduu)"
010633,Struți; emu (Dromaius novaehollandiae)
010639,Altele
01063910,Porumbei
01063980,Altele
010641,Albine
010649,Altele
010690,Altele
0106900010,Adecvate pentru consumul uman
0106900019,Altele
0106900090,Altele
0201,"Carne de animale din specia bovine, proaspătă sau refrigerată"
020110,În carcase sau semicarcase
0201100021,de bizon
0201100029,Altele
0201100092,de bizon
0201100094,Altele
0201100097,de bizon
0201100098,Altele
020120,Alte bucăți nedezosate
02012020,"Sferturi numite ""compensate"""
0201202021,de bizon
0201202029,Altele
0201202092,de bizon
0201202094,Altele
0201202097,de bizon
0201202098,Altele
02012030,Sferturi anterioare neseparate sau separate
0201203021,de bizon
0201203029,Altele
0201203092,de bizon
0201203094,Altele
0201203097,de bizon
0201203098,Altele
02012050,Sferturi posterioare neseparate sau separate
0201205021,de bizon
0201205029,Altele
0201205092,de bizon
0201205094,Altele
0201205097,de bizon
0201205098,Altele
02012090,Altele
0201209011,de bizon
020130,Dezosată
0201,"Carne de animale din specia bovine, proaspătă sau refrigerată"
020110,În carcase sau semicarcase
020120,Alte bucăți nedezosate
02012020,"Sferturi numite ""compensate"""
02012030,Sferturi anterioare neseparate sau separate
02012050,Sferturi posterioare neseparate sau separate
02012090,Altele
0201209011,de bizon
0201209015,Altele
0201209091,de bizon
0201209099,Altele
020130,Dezosată
0201300031,de bizon
0201300039,Altele
0201300041,de bizon
0201300049,Altele
0201300090,Altele
0202,"Carne de animale din specia bovine, congelată"
020210,În carcase sau semicarcase
0202100011,de bizon
0202100015,Altele
0202100091,de bizon
0202100099,Altele
020220,Alte bucăți nedezosate
02022010,"Sferturi numite ""compensate"""
0202201011,de bizon
0202201015,Altele
0202201091,de bizon
0202201099,Altele
02022030,Sferturi anterioare neseparate sau separate
0202203011,de bizon
0202203015,Altele
0202203081,de bizon
0202203082,Altele
0202203083,de bizon
0202203084,Altele
0202203085,de bizon
0202203086,Altele
0202203087,de bizon
020230,Dezosată
0202,"Carne de animale din specia bovine, congelată"
020210,În carcase sau semicarcase
020220,Alte bucăți nedezosate
02022010,"Sferturi numite ""compensate"""
02022030,Sferturi anterioare neseparate sau separate
0202203087,de bizon
0202203088,Altele
02022050,Sferturi posterioare neseparate sau separate
0202205011,de bizon
0202205015,Altele
0202205091,de bizon
0202205099,Altele
02022090,Altele
0202209011,de bizon
0202209015,Altele
0202209091,de bizon
0202209099,Altele
020230,Dezosată
02023010,"Sferturi anterioare, întregi sau tăiate în maximum cinci bucăți, fiecare sfert anterior fiind prezentat într-un singur bloc congelat; sferturi numite ""compensate"" prezentate în două blocuri congelate, unul dintre ele conținând partea anterioară a carcasei, întreagă sau tranșată în maximum cinci bucăți, iar celălalt conținând sfertul posterior, într-o singură bucată, fără mușchiul file"
0202301011,de bizon
0202301015,Altele
0202301081,de bizon
0202301082,Altele
0202301083,de bizon
0202301084,Altele
0202301085,de bizon
0202301086,Altele
0202301087,de bizon
0202301088,Altele
02023050,"Bucăți rezultate din sferturi anterioare și din piept numite ""australiene"""
0202305011,de bizon
0202305015,Altele
0202305081,de bizon
0202305082,Altele
0202305083,de bizon
0202305084,Altele
0202,"Carne de animale din specia bovine, congelată"
020230,Dezosată
02023010,"Sferturi anterioare, întregi sau tăiate în maximum cinci bucăți, fiecare sfert anterior fiind prezentat într-un singur bloc congelat; sferturi numite ""compensate"" prezentate în două blocuri congelate, unul dintre ele conținând partea anterioară a carcasei, întreagă sau tranșată în maximum cinci bucăți, iar celălalt conținând sfertul posterior, într-o singură bucată, fără mușchiul file"
02023050,"Bucăți rezultate din sferturi anterioare și din piept numite ""australiene"""
0202305085,de bizon
0202305086,Altele
0202305087,de bizon
0202305088,Altele
02023090,Altele
0202309011,de bizon
0202309015,Altele
0202309041,de bizon
0202309042,Altele
0202309043,de bizon
0202309044,Altele
0202309045,de bizon
0202309046,Altele
0202309047,de bizon
0202309048,Altele
0202309070,"Destinata fabricarii produselor încadrate la codurile 1602 10, 1602 50 31 sau 1602 50 95, care contin numai carne de la animale din specia bovine, cu un raport de colagen/proteina de maximum 0,45 % si cu un continut de carne macra de cel putin 20 % din greutate (excluzând organele si grasimile), carnea si gelatina cântarind cel putin 85 % din greutatea neta totala; aceste produse sunt supuse unui tratanent termic suficient pentru a asigura coagularea proteinelor carnii din ansamblul produsului si care, prin urmare, nu prezinta urme de lichid rozaliu pe suprafata taieturii, atunci când produsul este taiat longitudinal pe partea lui cea mai groasa (produse A)."
0202309075,"Destinata fabricarii produselor, altele decât cele de la codurile ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 si 1602 90 61 (produse B)"
0202309080,Altele
0202309090,Altele
0203,"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată"
020311,În carcase sau semicarcase
02031110,De animale domestice din specia porcine
02031190,Altele
020312,"Jamboane, spete și părți din acestea, nedezosate"
02031211,Jamboane și părți din acestea
02031219,Spete și părți din acestea
02031290,Altele
020319,Altele
02031911,Părți anterioare și părți din acestea
02031913,"Spinări și părți din acestea, nedezosate"
0203,"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată"
020311,În carcase sau semicarcase
020312,"Jamboane, spete și părți din acestea, nedezosate"
020319,Altele
02031911,Părți anterioare și părți din acestea
02031913,"Spinări și părți din acestea, nedezosate"
02031915,Piept (împănat) și părți de piept
02031955,Dezosate
0203195510,"Fileuri, prezentate separat"
0203195515,Spinari
0203195525,Parti
0203195530,Jamboane și bucăți de jamboane
0203195590,Altele
02031959,Altele
02031990,Altele
020321,În carcase sau semicarcase
02032110,De la animale domestice din specia porcine
02032190,Altele
020322,"Jamboane, spete și părți din acestea, nedezosate"
02032211,Jamboane și părți din acestea
02032219,Spete și părți din acestea
02032290,Altele
020329,Altele
02032911,Părți anterioare și părți din acestea
02032913,"Spinări și părți din acestea, nedezosate"
02032915,Piept (împănat) și părți de piept
02032955,Dezosate
0203295520,Spinari
0203295530,Parti
0203295591,"Fileuri, prezentate separat"
0203295592,Jamboane și bucăți de jamboane
0203295599,Altele
02032959,Altele
02032990,Altele
0204,"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată"
020410,"Carcase și semicarcase de miel, proaspete sau refrigerate"
0204100010,De miel domestic
0204100090,Altele
0204,"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată"
020410,"Carcase și semicarcase de miel, proaspete sau refrigerate"
020421,În carcase sau semicarcase
0204210010,Din specia ovine domestice
0204210090,Altele
020422,Alte părți nedezosate
02042210,Cască sau semicască
0204221010,Din specia ovine domestice
0204221090,Altele
02042230,Spinali și/sau șa sau semispinali și/sau semișa
0204223010,Din specia ovine domestice
0204223090,Altele
02042250,Chiulotă sau semichiulotă
0204225010,Din specia ovine domestice
0204225090,Altele
02042290,Altele
0204229010,Din specia ovine domestice
0204229090,Altele
020423,Dezosată
0204230011,De miel
0204230019,Altele
0204230091,De miel
0204230099,Altele
020430,"Carcase și semicarcase de miel, congelate"
0204300010,De miel domestic
0204300090,Altele
020441,În carcase sau semicarcase
0204410010,Din specia ovine domestice
0204410090,Altele
020442,Alte părți nedezosate
02044210,Cască sau semicască
0204421010,Din specia ovine domestice
0204421090,Altele
02044230,Spinali și/sau șa sau semispinali și/sau semișa
0204423010,Din specia ovine domestice
0204423090,Altele
02044250,Chiulotă sau semichiulotă
0204425010,Din specia ovine domestice
0204425090,Altele
02044290,Altele
0204429010,Din specia ovine domestice
020443,Dezosată
020450,Carne de animale din specia caprine
0204,"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată"
020410,"Carcase și semicarcase de miel, proaspete sau refrigerate"
020430,"Carcase și semicarcase de miel, congelate"
020441,În carcase sau semicarcase
020442,Alte părți nedezosate
02044210,Cască sau semicască
02044230,Spinali și/sau șa sau semispinali și/sau semișa
02044250,Chiulotă sau semichiulotă
02044290,Altele
0204429010,Din specia ovine domestice
0204429090,Altele
020443,Dezosată
02044310,De miel
0204431010,Din specia ovine domestice
0204431090,Altele
02044390,Altele
0204439010,Din specia ovine domestice
0204439090,Altele
020450,Carne de animale din specia caprine
02045011,Carcase sau semicarcase
02045013,Cască sau semicască
02045015,Spinali și/sau șa sau semispinali și/sau semișa
02045019,Chiulotă sau semichiulotă
02045031,Bucăți nedezosate
02045039,Bucăți dezosate
0204503910,Carne de ied
0204503990,Altele
02045051,Carcase sau semicarcase
02045053,Cască sau semicască
02045055,Spinali și/sau șa sau semispinali și/sau semișa
02045059,Chiulotă sau semichiulotă
02045071,Bucăți nedezosate
02045079,Bucăți dezosate
0204507910,Carne de ied
0204507990,Altele
0205,"Carne de cal, de măgar sau de catâr, proaspătă, refrigerată sau congelată"
02050020,Proaspătă sau refrigerată
02050080,Congelată
0206,"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate"
020610,"De animale din specia bovine, proaspete sau refrigerate"
02061010,Destinate fabricării de produse farmaceutice
02061095,Mușchii pilieri diafragmatici și diafragma
0206109511,de bizon
0206109515,Altele
0206109591,de bizon
0206,"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate"
020610,"De animale din specia bovine, proaspete sau refrigerate"
02061010,Destinate fabricării de produse farmaceutice
02061095,Mușchii pilieri diafragmatici și diafragma
0206109591,de bizon
0206109599,Altele
02061098,Altele
020621,Limbă
020622,Ficat
020629,Altele
02062910,Destinate fabricării produselor farmaceutice
02062991,Mușchii pilieri diafragmatici și diafragma
0206299111,de bizon
0206299115,Altele
0206299121,de bizon
0206299129,Altele
0206299133,de bizon
0206299135,Altele
0206299137,de bizon
0206299138,Altele
0206299141,de bizon
0206299142,Altele
0206299144,de bizon
0206299145,Altele
0206299151,de bizon
0206299159,Altele
0206299161,de bizon
0206299169,Altele
0206299171,de bizon
0206299179,Altele
0206299191,de bizon
0206299199,Altele
0206,"Organe comestibile de animale din speciile bovine, porcine, ovine, caprine, de cai, de măgari sau de catâri, proaspete, refrigerate sau congelate"
020610,"De animale din specia bovine, proaspete sau refrigerate"
020621,Limbă
020622,Ficat
020629,Altele
02062910,Destinate fabricării produselor farmaceutice
02062991,Mușchii pilieri diafragmatici și diafragma
02062999,Altele
020630,"Din specia porcine, proaspete sau refrigerate"
0206300010,Din specia porcine domestice
0206300090,Altele
020641,Ficat
